Rk,Team,Adj OE,Adj DE,Barthag,Record,Wins,Games,eFG,eFG D.,FT Rate,FT Rate D,TOV%,TOV% D,O Reb%,Op OReb%,Raw T,2P %,2P % D.,3P %,3P % D.,Blk %,Blked %,Ast %,Op Ast %,3P Rate,3P Rate D,Adj. T,Avg Hgt.,Eff. Hgt.,Exp.,PAKE,PASE,Talent,FT%,Op. FT%,PPP Off.,PPP Def.,Elite SOS,Year
39,Texas A&M,113.2,99.4,0.817,2–2,2,4,52.3,51.5,32.5,16.4,20.4,11.4,32.9,17.9,72.2,53.3,51.7,33.3,34.1,16.7,1.8,43.4,55.0,31.3,33.6,72.5,78.789,81.914,1.551,1.016,1.093,82.201,64.1,79.1,1.042,1.053,45.482,2018
40,Alabama,113.8,100.2,0.812,3–2,3,5,53.2,53.9,41.6,37.9,21.0,17.8,30.8,30.2,68.6,54.0,48.7,34.4,40.0,7.9,13.8,49.2,51.6,34.8,46.1,67.2,78.097,80.946,0.744,0.483,0.4,73.914,67.6,73.8,1.047,1.117,50.399,2018
41,Miami FL,107.2,94.6,0.808,0–2,0,2,47.1,49.2,21.8,25.4,17.9,13.4,28.0,32.1,67.1,45.1,51.3,35.7,30.4,16.3,12.1,43.1,69.1,23.5,36.5,66.9,77.114,81.181,1.249,-0.757,-1.079,81.652,57.7,68.8,0.946,1.087,47.33,2018
42,Virginia Tech,120.2,106.2,0.806,0–2,0,2,55.7,57.3,25.4,50.5,17.7,20.6,27.4,33.9,67.9,57.6,57.1,35.4,38.3,3.6,7.6,52.7,64.0,42.1,45.6,69.0,76.79,78.86,1.785,-0.72,-0.7,75.538,72.4,75.0,1.09,1.157,33.182,2018
43,UCLA,105.7,94.0,0.794,1–2,1,3,50.8,47.5,18.2,35.0,16.8,12.1,22.0,22.5,69.0,49.5,48.3,34.8,30.8,6.8,5.3,49.4,33.8,49.2,35.5,68.1,78.806,83.033,1.437,0.0,0.0,78.711,67.6,71.9,0.992,1.024,28.883,2018
44,Texas,114.8,102.5,0.786,1–2,1,3,50.3,57.0,26.2,27.3,12.9,16.8,31.6,26.0,64.5,48.2,53.2,35.6,42.6,8.1,11.4,44.4,55.3,39.0,35.5,64.5,77.743,81.515,0.957,-0.672,-0.621,74.625,65.3,59.6,1.09,1.11,38.153,2018
45,Wichita St.,118.4,106.0,0.781,1–2,1,3,50.0,54.8,46.9,44.0,18.3,13.1,37.1,19.4,71.0,50.5,48.5,32.9,43.1,2.9,8.6,60.5,41.0,40.0,38.7,69.3,77.803,80.401,2.303,-1.236,-1.536,38.199,76.8,74.3,1.117,1.122,30.414,2018
46,Lipscomb,110.4,99.0,0.778,3–1,3,4,56.0,52.3,37.8,35.3,17.4,23.5,20.0,30.6,77.6,56.7,51.5,36.8,35.5,8.2,8.7,69.3,49.5,47.3,44.4,75.4,77.268,79.89,1.601,-0.075,-0.064,5.68,76.9,74.1,1.096,1.015,20.41,2018
47,TCU,101.9,91.4,0.777,0–2,0,2,48.0,44.2,30.4,28.3,20.9,14.0,21.2,25.4,60.7,50.0,48.8,29.4,20.7,7.1,13.2,63.6,42.6,33.3,25.7,64.7,78.077,81.049,2.036,-0.913,-1.079,29.047,58.1,71.9,0.899,0.954,37.814,2018
48,Arkansas,117.6,106.2,0.764,2–2,2,4,46.7,55.5,47.7,27.2,14.1,19.8,27.9,35.1,65.6,45.0,48.4,33.8,43.0,12.5,8.1,41.6,54.3,30.4,43.9,66.3,77.141,80.622,2.109,-0.567,-0.907,39.343,75.5,74.2,1.055,1.139,46.926,2018
49,UNC Greensboro,96.9,87.7,0.759,3–1,3,4,46.2,41.9,22.9,30.4,18.2,19.0,34.0,26.4,64.6,52.2,46.0,25.5,25.0,12.4,5.2,37.5,44.9,43.2,47.9,63.1,77.161,80.834,1.785,-0.249,-0.25,0.208,66.7,69.7,0.983,0.882,21.652,2018
50,New Mexico St.,110.9,100.9,0.748,3–1,3,4,51.2,48.9,39.0,28.7,16.5,15.5,32.9,18.2,72.5,42.6,47.9,43.6,34.3,6.6,9.0,47.7,31.7,37.8,29.5,72.2,75.443,78.884,2.012,-0.413,-0.514,16.867,68.0,79.4,1.106,0.986,19.167,2018
51,Nevada,118.5,108.7,0.73,3–2,3,5,51.9,52.1,25.1,32.3,10.1,17.3,23.2,36.8,67.6,52.9,51.2,33.6,36.0,11.3,9.1,51.4,49.3,40.6,33.0,68.4,78.302,79.07,2.161,1.217,1.093,57.081,69.6,74.5,1.104,1.124,41.706,2018
52,Rhode Island,109.5,101.9,0.696,3–2,3,5,48.8,52.4,28.2,35.8,14.0,18.3,31.4,30.4,68.1,40.5,51.1,41.5,36.7,7.4,7.0,61.4,50.4,38.1,34.0,66.3,75.66,78.342,2.171,0.399,0.093,56.579,58.2,72.8,1.054,1.08,34.226,2018
53,Montana,110.0,102.9,0.683,3–1,3,4,51.3,55.1,35.1,29.3,14.3,17.2,27.1,20.5,67.6,48.4,51.4,41.2,41.6,7.4,3.2,33.9,41.7,21.3,34.2,67.1,76.629,79.637,1.738,-0.195,-0.164,16.392,70.2,65.2,1.089,1.043,25.093,2018
54,College of Charleston,102.2,96.1,0.67,3–1,3,4,53.5,51.3,29.1,27.8,17.1,18.9,23.8,23.0,66.9,54.7,50.8,34.4,34.7,9.8,13.1,41.5,51.0,39.6,41.9,65.6,76.811,79.63,2.061,-0.229,-0.25,4.156,71.2,58.7,1.052,0.98,18.456,2018
55,St. Bonaventure,107.8,101.6,0.664,2–2,2,4,50.5,56.2,41.6,29.2,15.2,18.2,24.4,23.3,67.3,53.0,51.5,31.0,40.0,10.1,7.6,51.5,69.7,39.7,54.8,68.0,76.517,78.956,2.209,-0.379,-0.607,5.279,64.8,75.0,1.04,1.092,31.678,2018
56,Cal St. Fullerton,95.0,90.7,0.63,3–1,3,4,47.1,40.9,39.7,36.2,19.1,16.5,16.9,29.1,68.1,50.3,34.5,25.5,37.1,8.5,8.7,51.7,39.8,27.0,29.8,68.1,76.687,78.659,1.488,-0.074,-0.064,0.2,71.6,74.1,0.918,0.936,24.847,2018
57,Creighton,100.1,95.9,0.621,0–2,0,2,43.7,47.0,18.1,48.7,18.5,15.7,29.6,27.7,66.0,47.1,44.6,26.3,34.1,13.5,11.4,58.3,42.6,44.9,35.7,68.1,77.285,80.214,1.695,-0.764,-0.7,48.746,69.6,58.9,0.905,1.005,35.456,2018
58,Iona,108.7,104.2,0.619,3–1,3,4,48.6,51.0,42.1,26.0,12.5,20.1,21.5,34.5,68.3,50.0,48.6,30.9,36.5,6.8,8.6,52.6,50.9,36.7,39.7,69.2,75.88,78.997,2.223,-0.054,-0.064,0.2,77.4,55.6,1.051,1.033,22.519,2018
59,Oklahoma,101.6,97.5,0.616,0–2,0,2,45.3,46.8,28.3,22.0,17.7,15.7,26.5,35.9,69.2,47.5,37.9,27.7,40.7,10.3,10.0,43.1,50.9,37.0,38.3,68.8,77.895,81.034,1.253,-0.645,-0.621,70.869,63.9,71.0,0.939,1.048,34.63,2018
60,Arizona St.,120.1,115.3,0.615,0–2,0,2,54.8,56.8,27.0,38.7,10.8,13.8,20.5,28.6,65.0,52.9,47.1,37.5,48.8,10.0,7.8,66.7,56.6,55.7,36.9,67.8,76.215,80.009,1.795,0.0,0.0,53.908,48.4,72.1,1.084,1.207,26.585,2018
61,Wright St.,101.2,97.2,0.614,3–1,3,4,45.5,45.7,30.8,21.6,14.0,16.2,27.0,23.1,66.2,44.6,45.4,31.4,30.8,5.0,8.8,53.8,43.5,36.8,39.2,66.8,76.807,80.331,1.455,-0.121,-0.164,0.375,75.0,86.0,1.008,0.962,17.819,2018
62,North Carolina St.,118.3,116.0,0.556,0–2,0,2,58.4,55.2,33.6,46.4,15.0,11.6,25.7,34.3,73.4,54.1,57.8,43.1,33.3,3.6,4.1,50.0,50.0,40.8,33.6,71.9,76.427,80.511,1.734,-0.598,-0.6,43.838,57.1,81.0,1.158,1.261,35.693,2018
63,Texas Southern,104.9,103.2,0.547,4–1,4,5,53.4,45.2,50.4,33.9,17.3,16.8,28.6,34.4,73.9,49.7,45.3,39.4,29.9,11.4,11.7,57.0,48.5,38.9,29.1,73.3,75.756,80.045,2.025,-0.042,-0.007,30.177,78.0,58.4,1.107,0.994,13.036,2018
64,LIU Brooklyn,98.3,98.0,0.509,3–1,3,4,50.9,41.5,37.1,30.9,18.8,18.5,27.3,33.1,69.0,51.5,42.9,33.3,25.9,7.5,4.5,50.0,52.7,39.4,34.6,69.9,75.202,78.642,1.875,0.0,0.0,14.561,70.7,72.4,1.025,0.938,6.269,2018
65,Missouri,93.4,93.8,0.488,0–2,0,2,40.7,47.1,29.2,49.0,17.4,14.4,24.1,21.9,66.0,34.4,43.1,32.7,35.9,9.2,14.1,47.4,57.1,43.4,37.5,66.3,77.943,81.238,1.805,-0.665,-0.7,45.402,66.7,60.8,0.864,0.978,35.938,2018
66,Radford,97.7,99.8,0.439,4–1,4,5,43.5,54.0,38.8,25.1,15.3,23.4,27.8,23.4,61.5,40.2,53.7,33.0,36.2,8.1,7.7,48.5,60.2,35.7,48.5,61.0,74.782,78.29,1.584,-0.029,-0.007,1.613,76.5,78.3,0.998,0.992,19.691,2018
67,Auburn,90.5,95.7,0.345,1–2,1,3,36.4,54.6,36.9,40.9,12.9,19.8,20.7,24.2,72.4,38.8,58.5,22.5,32.9,11.7,6.1,44.8,53.8,47.6,42.7,74.4,75.841,79.021,1.241,-0.416,-0.536,58.941,60.9,65.7,0.819,1.026,31.11,2018
68,North Carolina Central,87.1,97.1,0.223,4–1,4,5,43.8,40.7,27.0,31.1,21.7,19.6,37.8,29.5,67.3,47.3,42.0,23.6,25.9,7.5,9.7,62.2,53.9,30.1,39.2,63.8,76.233,79.629,1.717,0.0,0.0,4.118,68.8,76.4,0.933,0.894,2.861,2018
1,Baylor,125.5,89.5,0.98,7–1,7,8,52.1,48.8,23.7,32.6,14.9,23.1,36.9,30.1,67.1,50.6,50.0,36.5,31.0,10.2,12.3,54.4,52.2,36.4,33.3,67.3,76.684,79.37,1.967,2.737,2.65,57.416,78.0,75.5,1.137,0.971,46.316,2021
2,Gonzaga,127.4,92.4,0.976,7–1,7,8,60.7,48.1,31.8,22.4,15.8,14.9,27.8,24.1,70.3,62.2,48.2,38.7,31.9,5.3,6.7,60.1,45.2,36.7,32.3,72.0,78.108,80.58,1.528,1.104,1.65,80.761,72.7,70.8,1.194,0.991,44.765,2021
3,Illinois,117.7,87.3,0.969,4–1,4,5,53.6,47.1,34.3,31.1,15.4,14.8,29.6,19.0,69.9,55.9,46.6,31.1,32.2,6.8,8.3,57.0,50.4,24.4,30.4,71.8,76.996,80.548,1.627,-1.533,-2.35,73.109,71.2,73.9,1.114,0.969,44.687,2021
4,Loyola Chicago,117.4,87.9,0.965,5–1,5,6,55.2,48.5,31.0,21.9,18.1,18.9,30.9,19.4,61.6,51.3,48.4,41.0,32.5,7.8,7.8,70.1,44.4,37.7,27.5,62.7,76.146,79.589,2.231,0.896,1.3,11.054,74.0,80.3,1.118,0.936,32.094,2021
5,Alabama,120.5,90.7,0.963,5–1,5,6,52.9,45.9,22.7,20.6,17.2,17.2,39.5,30.7,69.3,54.5,46.9,33.9,29.5,12.8,15.5,46.1,43.3,44.6,37.5,71.2,77.695,80.152,1.841,-0.027,-0.371,70.27,66.7,72.5,1.13,0.977,38.434,2021
6,Oregon St.,119.6,90.1,0.963,6–1,6,7,53.0,42.2,41.3,39.0,19.4,14.6,30.6,33.5,65.2,47.8,44.0,41.2,26.4,10.8,8.3,58.4,53.3,37.2,41.9,67.1,78.244,81.224,2.035,2.364,2.486,34.182,76.8,69.1,1.084,0.994,52.594,2021
7,UCLA,120.8,92.2,0.957,5–2,5,7,51.3,49.4,29.8,31.6,12.4,16.8,31.2,27.8,64.1,49.3,52.6,37.0,28.8,8.5,7.7,46.2,51.4,31.2,33.8,63.2,77.295,79.632,1.376,2.954,3.393,82.595,69.8,66.2,1.108,1.021,48.86,2021
8,Syracuse,122.2,93.4,0.957,3–2,3,5,57.5,46.0,25.2,21.6,17.5,15.9,25.2,37.0,64.0,51.5,43.4,42.4,32.6,16.3,9.7,57.6,64.7,49.6,46.5,66.9,78.118,80.591,1.527,1.33,1.393,64.21,76.1,76.1,1.116,1.051,50.763,2021
9,Houston,120.8,93.3,0.951,7–1,7,8,50.1,46.7,30.5,34.7,15.1,17.3,41.0,28.6,62.9,48.9,44.5,34.5,33.3,15.2,8.7,58.8,58.9,42.0,38.8,63.0,77.106,79.302,1.843,1.052,1.629,57.911,72.4,62.8,1.157,0.957,34.157,2021
10,USC,117.9,91.2,0.95,4–2,4,6,56.9,44.0,33.3,23.6,16.6,14.0,25.5,33.3,66.5,52.9,41.8,44.1,32.1,10.5,5.8,48.8,52.0,29.8,34.4,66.6,79.377,82.589,1.679,1.015,1.921,47.985,67.5,80.4,1.122,1.004,48.817,2021
11,St. Bonaventure,114.4,89.0,0.947,3–1,3,4,47.0,43.2,25.1,31.4,13.2,17.0,32.0,30.6,66.1,50.6,42.3,26.5,30.0,14.8,9.1,53.3,49.4,33.6,34.9,65.1,77.32,79.475,1.928,-0.635,-0.6,0.359,79.0,76.4,1.063,0.957,34.131,2021
12,Michigan,114.7,89.4,0.946,4–2,4,6,52.4,45.4,34.5,22.3,14.9,13.9,30.4,24.3,65.8,51.6,45.1,36.0,30.7,8.2,10.5,69.5,45.5,34.2,31.8,66.2,77.889,82.229,2.078,0.466,-0.35,66.856,78.3,77.5,1.112,0.98,43.304,2021
13,Wisconsin,117.2,91.8,0.943,2–2,2,4,54.2,47.5,17.6,23.1,16.6,12.3,24.2,29.3,64.8,45.3,47.7,45.5,31.4,12.2,12.9,55.3,57.7,38.8,28.9,63.6,77.973,81.638,2.316,-0.023,0.4,55.41,85.0,78.6,1.08,1.057,54.587,2021
14,Georgetown,111.7,87.5,0.943,4–1,4,5,48.4,49.0,41.3,21.7,18.8,17.3,32.6,23.8,67.1,45.1,47.8,35.9,33.6,9.4,5.8,42.6,57.5,37.3,45.2,68.6,78.144,81.822,2.018,-0.4,-0.514,40.505,74.6,60.3,1.049,0.96,44.645,2021
15,LSU,124.4,98.0,0.94,3–2,3,5,47.3,48.0,26.5,27.8,10.6,14.9,32.7,33.5,69.8,44.2,50.5,35.7,29.4,9.8,12.9,36.7,53.3,33.3,39.4,69.7,77.607,79.998,1.064,0.115,0.3,83.74,77.5,71.9,1.11,1.064,50.384,2021
16,Villanova,122.9,97.1,0.938,2–2,2,4,55.3,46.1,32.5,29.1,13.9,15.1,25.6,32.1,61.1,58.9,46.6,34.3,30.3,11.5,5.6,52.0,51.1,48.8,40.5,60.9,77.985,80.415,1.829,0.371,0.886,73.753,70.6,85.9,1.142,1.056,39.464,2021
17,Grand Canyon,118.0,93.4,0.936,2–1,2,3,52.8,45.9,28.2,29.6,15.6,13.5,42.2,23.6,64.2,54.0,48.3,33.8,28.8,12.4,8.8,50.0,42.4,37.6,47.3,64.8,77.413,81.935,2.131,-0.166,-0.064,14.562,74.5,68.0,1.19,0.982,27.308,2021
18,Ohio,113.3,90.9,0.926,4–1,4,5,52.5,46.0,30.6,27.9,17.9,16.1,31.8,26.6,69.4,51.6,48.3,36.0,28.5,2.8,8.6,54.4,41.3,37.4,40.9,69.7,76.934,79.748,1.43,0.602,0.75,6.606,70.3,77.4,1.083,0.985,32.528,2021
19,Texas Tech,109.9,89.1,0.918,1–2,1,3,45.6,49.4,25.1,21.0,15.1,25.7,32.8,35.4,66.2,38.3,51.4,41.8,30.6,7.6,13.3,55.6,49.3,30.1,37.1,64.5,77.012,78.709,1.42,-0.363,-0.079,53.387,65.2,65.7,0.991,0.946,44.88,2021
20,Ohio St.,117.6,95.4,0.917,3–2,3,5,51.4,45.6,34.7,35.5,15.8,10.4,29.1,28.7,68.2,50.5,43.7,35.4,32.3,11.2,11.1,55.0,56.6,36.3,40.3,67.4,77.5,79.536,1.963,-2.069,-2.371,71.659,68.5,72.6,1.077,1.055,44.235,2021
21,Winthrop,109.2,89.1,0.912,3–1,3,4,53.0,44.0,32.5,40.7,18.0,18.3,34.3,24.5,68.2,53.9,46.1,34.4,26.7,5.0,12.1,59.6,38.8,40.5,34.7,71.7,76.674,79.375,1.933,-0.25,-0.514,6.77,74.0,58.0,1.129,0.884,15.737,2021
22,Florida St.,108.3,88.5,0.911,3–2,3,5,53.3,43.1,32.3,32.8,25.7,16.8,30.2,36.1,67.8,55.2,45.3,32.4,26.0,12.9,7.7,51.2,56.8,28.8,34.1,68.1,79.591,82.065,1.949,0.271,0.464,53.523,75.9,66.0,0.994,0.971,45.136,2021
23,Connecticut,111.3,91.1,0.909,1–2,1,3,41.7,46.3,27.1,28.4,13.5,20.2,41.0,31.1,64.4,41.8,41.7,27.7,38.3,12.2,6.7,54.1,42.4,32.7,29.0,64.7,77.885,80.977,1.785,-1.125,-0.907,52.299,70.4,69.6,1.056,0.942,35.281,2021
24,Colorado,118.8,97.3,0.909,3–2,3,5,52.7,53.3,28.1,37.0,19.0,18.4,35.6,26.4,64.1,48.0,52.6,40.2,36.2,7.2,9.4,53.6,51.7,38.5,40.9,65.0,77.447,80.306,2.245,-0.524,-0.114,48.237,73.1,71.6,1.092,1.067,40.784,2021
25,Eastern Washington,108.8,90.1,0.897,3–1,3,4,53.9,45.5,33.5,21.8,18.8,13.0,22.8,19.9,69.2,57.4,49.4,32.6,25.8,7.8,4.7,58.3,42.4,40.8,36.6,71.0,77.174,79.677,1.614,-0.315,-0.164,0.2,79.5,69.8,1.058,0.932,14.863,2021
26,Maryland,120.3,99.9,0.894,2–2,2,4,55.4,52.3,26.9,19.3,16.0,17.9,20.3,39.3,64.2,56.2,48.0,36.3,39.4,6.0,10.7,55.4,55.0,42.9,38.5,64.0,78.089,79.403,1.869,0.34,0.379,67.127,68.4,66.0,1.067,1.114,52.109,2021
27,North Carolina,114.5,95.4,0.891,2–2,2,4,47.3,50.4,29.3,28.9,15.7,18.6,42.7,29.1,70.0,44.2,45.7,36.8,39.3,18.5,10.7,43.5,50.0,27.8,35.7,71.4,78.833,82.508,1.02,-0.477,-0.7,85.053,65.0,72.1,1.107,1.021,42.816,2021
28,Texas,111.9,93.8,0.884,2–1,2,3,54.9,44.3,36.2,25.5,28.7,18.0,37.5,37.5,68.6,52.3,44.9,39.1,28.6,14.7,5.7,54.9,48.1,42.1,29.2,67.8,77.84,81.487,2.109,-1.495,-1.864,88.6,78.2,71.4,1.021,0.997,38.174,2021
29,Oregon,119.1,100.7,0.873,2–2,2,4,54.9,56.8,22.5,24.8,14.7,19.3,29.3,30.9,70.0,55.5,52.4,36.0,42.7,11.7,7.3,57.7,58.8,35.2,38.0,69.4,77.512,78.776,2.265,0.399,1.093,49.314,70.2,75.9,1.136,1.108,46.187,2021
30,VCU,104.6,88.5,0.872,2–1,2,3,51.9,44.8,30.6,32.4,18.8,20.8,20.9,33.9,67.3,54.1,36.6,31.4,37.5,14.9,7.3,46.7,54.7,31.9,41.6,71.4,77.196,80.061,1.229,0.0,-0.621,38.761,73.5,69.6,1.0,0.961,24.398,2021
31,UC Santa Barbara,116.0,98.2,0.872,3–1,3,4,50.7,50.2,45.5,17.8,13.5,15.4,26.8,20.0,68.3,53.4,50.6,30.3,32.9,3.8,7.4,48.0,43.4,33.9,32.2,66.6,77.357,80.946,2.321,-0.409,-0.514,53.867,78.4,73.8,1.124,0.981,19.031,2021
32,Creighton,103.8,88.1,0.868,4–2,4,6,49.5,46.3,16.5,26.3,16.4,18.1,25.9,29.7,67.2,49.3,48.1,33.1,29.1,6.6,5.5,52.6,58.7,39.8,39.9,67.5,76.987,79.001,2.215,0.754,0.886,57.988,56.7,65.6,0.977,0.962,39.697,2021
33,Oklahoma St.,105.7,90.0,0.864,3–2,3,5,46.9,47.2,42.3,34.8,17.8,21.5,29.4,33.0,75.3,47.6,47.7,30.3,30.9,13.8,13.9,44.2,41.7,32.2,36.1,76.9,77.611,80.273,1.061,-0.25,-0.536,61.902,70.8,81.1,1.009,0.993,46.441,2021
34,Iowa,117.0,100.0,0.859,2–2,2,4,50.4,52.1,24.8,18.4,13.6,14.4,27.8,30.8,69.7,52.8,52.8,30.8,33.7,12.9,12.6,67.9,63.1,36.4,31.8,71.0,77.914,81.654,1.656,-1.062,-1.371,61.215,75.8,75.0,1.073,1.105,46.854,2021
35,Tennessee,104.6,89.5,0.857,1–2,1,3,46.2,47.2,24.0,26.0,20.6,22.5,31.0,33.6,71.0,47.7,41.7,29.2,37.0,19.4,13.5,59.5,50.0,39.3,40.3,70.3,77.4,79.179,1.471,-1.209,-1.114,75.912,75.0,80.9,0.948,0.981,44.531,2021
36,Rutgers,104.4,89.6,0.853,2–2,2,4,47.5,45.3,23.4,31.1,19.1,17.9,27.5,36.1,65.5,50.0,46.6,28.8,28.4,10.6,8.5,51.1,57.3,36.0,31.5,67.4,77.908,80.503,1.953,0.312,0.379,55.802,73.1,63.0,0.95,0.988,51.911,2021
37,Arkansas,102.7,88.2,0.852,4–2,4,6,46.0,49.3,33.1,28.1,18.1,19.9,31.7,27.1,73.5,48.6,42.6,25.5,40.8,10.4,6.7,46.9,53.6,24.9,36.1,72.5,77.776,80.987,1.545,1.621,1.136,55.045,72.0,71.3,0.993,0.968,42.604,2021
38,Abilene Christian,100.4,86.4,0.849,3–1,3,4,45.0,48.4,21.8,19.7,17.1,23.0,34.9,24.8,67.3,42.4,49.6,33.8,30.9,5.1,15.7,63.0,50.5,31.7,37.2,67.6,75.102,79.765,2.228,0.753,0.836,0.2,81.8,55.8,1.01,0.873,27.279,2021
39,Georgia Tech,116.2,100.4,0.843,2–1,2,3,53.6,58.0,26.9,35.3,15.2,27.3,24.7,38.0,65.9,56.3,55.4,31.3,41.4,13.0,8.4,46.3,53.3,28.7,38.7,67.1,76.336,80.032,2.51,-0.606,-0.6,51.343,68.9,71.7,1.062,1.072,41.341,2021
40,Oral Roberts,109.4,94.7,0.84,5–1,5,6,51.9,47.7,29.2,27.4,13.8,19.7,17.6,36.7,72.2,53.6,49.1,33.3,29.0,7.6,8.3,51.3,50.0,47.1,25.6,72.0,76.849,79.548,1.496,1.859,1.936,1.124,84.9,69.2,1.058,1.012,28.713,2021
41,BYU,112.2,97.6,0.833,1–2,1,3,51.7,52.7,27.9,33.7,18.1,11.1,26.2,21.8,68.8,54.0,53.0,31.8,34.7,6.1,6.2,37.8,40.7,36.9,38.5,67.4,77.968,82.332,1.984,-0.908,-1.079,39.722,74.0,65.1,1.029,1.103,51.918,2021
42,Utah St.,98.8,86.0,0.831,2–2,2,4,45.1,39.4,25.9,22.8,23.0,13.4,36.7,28.4,65.3,47.7,40.7,26.7,24.3,16.9,10.7,62.6,42.0,33.5,30.1,67.1,78.146,81.316,1.486,-0.595,-0.607,17.726,75.9,75.0,0.942,0.904,34.184,2021
43,West Virginia,114.3,100.1,0.821,1–2,1,3,50.0,58.3,17.6,24.5,16.8,25.4,34.8,33.0,69.4,44.7,53.2,40.3,43.5,8.5,13.6,53.5,61.3,33.7,42.3,68.9,77.153,80.142,1.787,-0.582,-0.864,44.317,74.3,60.0,1.08,1.027,31.633,2021
44,Missouri,104.2,91.6,0.815,1–2,1,3,48.2,49.4,32.9,35.9,20.1,18.7,25.2,23.6,71.3,43.8,43.5,36.9,43.5,8.9,11.4,55.7,56.8,38.2,27.1,68.5,77.607,80.64,2.462,-0.592,-0.6,50.387,73.2,72.1,0.959,0.992,36.243,2021
45,North Texas,109.5,96.4,0.812,5–1,5,6,50.5,46.0,23.6,26.6,15.9,19.2,29.9,32.0,59.3,46.1,44.1,38.5,32.6,9.2,11.3,53.9,53.5,37.4,40.4,60.1,77.016,79.684,2.415,0.621,0.75,2.103,80.5,78.2,1.055,0.996,26.508,2021
46,Virginia,109.9,97.0,0.808,1–1,1,2,48.3,49.1,19.1,29.0,12.2,13.8,23.9,27.0,61.5,55.1,48.4,28.8,33.3,22.6,10.2,58.7,62.2,57.4,42.1,60.9,77.712,82.282,1.879,-1.28,-1.536,55.537,86.4,83.9,1.056,1.064,33.662,2021
47,Michigan St.,107.0,94.6,0.805,0–2,0,2,49.1,48.8,31.6,39.3,21.2,13.4,29.7,31.1,66.8,51.3,44.0,29.4,39.5,10.7,6.3,51.0,44.2,29.8,31.1,70.8,77.94,80.462,1.714,0.0,0.0,82.545,69.4,72.9,0.969,1.089,46.56,2021
48,Virginia Tech,111.9,99.1,0.802,0–2,0,2,50.9,55.5,31.6,49.5,15.4,20.3,18.3,33.9,67.6,48.7,54.7,36.6,38.2,5.3,13.2,53.8,38.9,35.0,31.2,65.8,76.42,79.897,1.562,-0.719,-0.621,28.989,64.9,64.8,0.999,1.09,40.295,2021
49,Oklahoma,111.4,98.9,0.797,2–2,2,4,53.7,50.8,30.9,23.9,18.9,15.7,22.3,27.5,68.7,50.3,49.3,40.9,35.4,15.3,6.0,50.5,50.9,30.4,40.7,67.0,76.855,79.831,2.102,0.368,0.3,32.322,76.1,86.2,1.034,1.081,43.948,2021
50,San Diego St.,112.3,99.9,0.793,3–1,3,4,49.6,51.8,30.1,42.3,11.4,20.8,26.8,26.4,63.8,52.6,44.5,30.2,40.7,9.1,12.0,50.5,56.0,41.9,43.9,62.8,76.552,79.793,2.399,-1.164,-1.079,26.167,71.0,81.9,1.082,1.062,27.0,2021
51,Colgate,115.1,102.9,0.784,3–1,3,4,56.2,48.4,34.1,28.6,15.8,13.8,31.5,24.7,72.6,48.1,53.0,47.2,26.4,7.1,9.4,58.0,39.3,35.7,34.1,71.5,76.444,80.225,1.82,-0.366,-0.164,0.2,64.7,74.0,1.153,1.036,14.482,2021
52,Morehead St.,109.0,99.3,0.745,3–1,3,4,56.5,50.4,29.3,17.6,23.6,14.1,33.9,25.9,65.7,52.4,46.3,44.3,37.9,9.4,8.2,50.0,52.4,29.3,38.9,63.2,77.307,79.834,1.69,-0.153,-0.164,5.5,75.4,62.8,1.07,1.039,19.847,2021
53,Kansas,108.5,98.9,0.744,2–1,2,3,48.1,60.7,20.6,27.6,11.9,21.9,21.1,23.2,70.0,46.4,53.5,33.8,48.4,5.9,11.6,57.7,59.5,40.7,38.0,69.5,78.152,80.329,1.46,-0.2,-0.864,80.676,79.5,73.3,1.015,1.1,41.132,2021
54,Iona,96.3,87.9,0.741,4–1,4,5,45.7,42.8,33.1,40.3,21.9,19.2,31.1,24.3,65.7,45.9,44.4,30.2,27.1,9.9,6.6,44.5,50.0,32.0,41.5,66.0,76.324,80.272,1.731,-0.105,-0.064,9.632,74.2,59.6,0.95,0.862,15.69,2021
55,Florida,107.9,99.2,0.725,2–2,2,4,54.4,50.4,33.5,32.0,23.7,16.1,31.4,22.6,67.7,54.7,52.5,35.9,32.1,10.7,11.7,41.7,54.5,36.3,47.2,67.8,77.44,80.694,1.529,0.126,0.093,60.198,75.0,79.7,1.033,1.048,29.414,2021
56,Drake,106.6,99.6,0.686,2–2,2,4,43.2,52.3,19.9,29.5,12.4,15.6,31.1,28.3,62.7,40.7,50.7,32.4,37.3,5.3,15.0,45.7,57.4,30.7,30.9,64.2,76.09,79.545,1.958,-0.246,-0.607,0.2,77.1,64.1,0.978,1.069,40.75,2021
57,UNC Greensboro,101.6,95.0,0.684,3–1,3,4,47.6,49.3,28.0,30.1,11.8,20.9,24.4,24.4,68.1,44.9,58.6,34.3,22.9,9.0,7.5,48.0,44.3,40.2,38.4,67.0,77.023,81.265,1.735,-0.146,-0.25,14.285,66.7,75.4,1.028,0.962,21.571,2021
58,Norfolk St.,97.2,91.0,0.681,3–1,3,4,45.4,43.8,29.1,35.0,16.8,20.0,24.7,36.4,70.0,37.7,45.3,38.5,27.7,9.4,15.1,60.0,53.8,38.4,42.1,69.2,76.559,79.353,2.363,-0.016,-0.007,0.2,75.4,73.8,0.954,0.972,23.579,2021
